fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carheight,enginetype,cylindernumber,fuelsystem,boreratio,stroke,compressionratio,peakrpm,price
gas,std,four,sedan,4wd,front,99.4,54.3,ohc,five,mpfi,3.19,3.4,8.0,5500,17450.0
gas,std,four,sedan,rwd,front,115.6,56.5,ohcv,eight,mpfi,3.46,3.1,8.3,4750,34184.0
gas,std,two,hatchback,fwd,front,99.1,56.1,ohc,four,mpfi,2.54,2.07,9.3,5250,15040.0
gas,turbo,four,sedan,4wd,front,97.0,54.3,ohcf,four,mpfi,3.62,2.64,7.7,4800,11259.0
gas,std,four,sedan,fwd,front,93.7,50.8,ohc,four,2bbl,2.97,3.23,9.4,5500,7609.0
gas,std,four,sedan,fwd,front,93.7,50.6,ohc,four,2bbl,2.97,3.23,9.4,5500,7609.0
gas,turbo,two,hatchback,fwd,front,95.9,50.2,ohc,four,spdi,3.59,3.86,7.0,5000,14869.0
gas,turbo,four,wagon,4wd,front,96.9,54.9,ohcf,four,mpfi,3.62,2.64,7.7,4800,11694.0
gas,std,four,sedan,fwd,front,97.3,55.7,ohc,four,mpfi,3.19,3.4,9.0,5250,8495.0
gas,turbo,four,sedan,fwd,front,105.8,55.9,ohc,five,mpfi,3.13,3.4,8.3,5500,23875.0
diesel,std,two,sedan,fwd,front,94.5,54.5,ohc,four,idi,2.99,3.47,21.9,4800,7099.0
gas,std,two,sedan,rwd,front,94.5,52.6,ohc,four,2bbl,3.19,3.03,9.0,4800,8058.0
gas,std,two,hatchback,fwd,front,98.8,53.7,ohc,four,2bbl,3.39,3.39,8.6,4800,10595.0
gas,turbo,two,hatchback,rwd,front,102.7,54.8,ohc,four,mpfi,3.78,3.12,8.0,5000,16503.0
gas,std,two,hatchback,rwd,front,99.2,49.7,ohcv,six,mpfi,3.43,3.27,9.0,5200,18399.0
diesel,std,four,sedan,fwd,front,98.8,55.5,ohc,four,idi,3.39,3.39,22.7,4650,10795.0
gas,turbo,four,sedan,rwd,front,104.3,56.2,ohc,four,mpfi,3.62,3.15,7.5,5100,18420.0
gas,std,four,sedan,fwd,front,97.2,52.5,ohcf,four,mpfi,3.62,2.64,9.0,5200,9960.0
gas,std,four,hatchback,fwd,front,93.7,50.6,ohc,four,2bbl,2.97,3.23,9.4,5500,6229.0
gas,std,two,hatchback,fwd,front,86.6,50.8,ohc,four,1bbl,2.91,3.41,9.6,4800,6479.0
gas,std,four,sedan,fwd,front,99.1,56.1,ohc,four,mpfi,3.54,3.07,9.3,5250,15510.0
gas,std,four,sedan,fwd,front,96.5,54.1,ohc,four,1bbl,3.15,3.58,9.0,5800,10295.0
gas,std,four,sedan,fwd,front,98.8,55.5,ohc,four,2bbl,3.39,3.39,8.6,4800,8495.0
gas,std,two,hatchback,rwd,front,95.3,49.6,rotor,two,4bbl,3.33,3.255,9.4,6000,11845.0
gas,std,four,sedan,fwd,front,100.4,55.1,ohcv,six,mpfi,3.43,3.27,9.0,5200,13499.0
gas,std,four,sedan,fwd,front,96.3,51.6,ohc,four,2bbl,3.35,3.46,8.5,5000,8189.0
gas,std,two,hatchback,fwd,front,94.5,52.0,ohc,four,2bbl,3.03,3.11,9.6,5400,6295.0
gas,std,four,wagon,4wd,front,95.7,59.1,ohc,four,2bbl,3.05,3.03,9.0,4800,8778.0
gas,std,four,wagon,fwd,front,94.5,53.5,ohc,four,2bbl,3.15,3.29,9.4,5200,7999.0
gas,std,four,sedan,fwd,front,93.1,54.1,ohc,four,2bbl,3.08,3.15,9.0,5000,7395.0
diesel,std,four,sedan,fwd,front,97.3,55.7,ohc,four,idi,3.01,3.4,23.0,4800,7995.0
gas,std,two,hatchback,fwd,front,93.1,54.1,ohc,four,2bbl,3.03,3.15,9.0,5000,6095.0
gas,std,two,hatchback,fwd,front,93.7,53.7,ohcf,four,2bbl,3.62,2.64,8.7,4400,7053.0
gas,std,four,sedan,fwd,front,97.2,52.5,ohcf,four,2bbl,3.62,2.64,9.5,4800,7126.0
diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,3.7,3.52,21.0,4150,16900.0
gas,std,four,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,3.15,3.29,9.4,5200,7499.0
gas,std,four,sedan,rwd,front,107.9,56.7,l,four,mpfi,3.46,3.19,8.4,5000,11900.0
gas,std,four,wagon,fwd,front,97.0,53.0,ohcf,four,2bbl,3.62,2.64,9.0,4800,7463.0
diesel,turbo,four,wagon,rwd,front,114.2,58.7,l,four,idi,3.7,3.52,21.0,4150,13860.0
gas,std,two,hatchback,rwd,front,102.9,52.0,dohc,six,mpfi,3.27,3.35,9.3,5200,16558.0
gas,std,four,sedan,rwd,front,103.5,55.7,ohc,six,mpfi,3.31,3.19,9.0,4250,24565.0
gas,turbo,two,sedan,fwd,front,93.7,50.6,ohc,four,mpfi,3.03,3.39,7.6,5500,8558.0
diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,3.7,3.52,21.0,4150,13200.0
gas,std,four,sedan,fwd,front,97.3,55.7,ohc,four,mpfi,3.19,3.4,9.0,5250,8195.0
gas,std,two,hardtop,rwd,rear,89.5,51.6,ohcf,six,mpfi,3.74,2.9,9.5,5900,32528.0
gas,std,two,hatchback,rwd,front,96.0,51.4,ohc,four,spfi,3.43,3.23,9.2,5000,11048.0
gas,std,four,sedan,fwd,front,100.4,55.1,ohc,five,mpfi,3.19,3.4,8.5,5500,13295.0
gas,std,four,sedan,rwd,front,109.1,55.5,ohc,four,mpfi,3.78,3.15,9.5,5400,16845.0
gas,std,four,sedan,fwd,front,95.7,52.8,ohc,four,2bbl,3.19,3.03,9.0,4800,9258.0
gas,std,four,sedan,fwd,front,98.8,55.5,ohc,four,2bbl,3.39,3.39,8.6,4800,10245.0
gas,std,two,hatchback,rwd,front,94.5,52.4,ohcv,six,mpfi,2.68,3.47,9.0,5000,16500.0
gas,std,two,hatchback,fwd,front,98.8,53.7,ohc,four,2bbl,3.39,3.39,8.6,4800,8845.0
gas,std,four,wagon,fwd,front,103.3,59.8,ohc,four,2bbl,3.35,3.46,8.5,5000,8921.0
gas,turbo,two,hatchback,rwd,front,95.9,50.2,ohc,four,spdi,3.59,3.86,7.0,5000,12764.0
gas,std,four,sedan,rwd,front,94.3,53.5,ohc,four,2bbl,3.31,3.23,8.5,4800,6785.0
gas,std,two,sedan,rwd,front,101.2,54.3,ohc,four,mpfi,3.5,2.8,8.8,5800,16430.0
gas,std,four,wagon,rwd,front,114.2,58.7,l,four,mpfi,3.46,3.19,8.4,5000,12440.0
gas,std,four,sedan,rwd,front,120.9,56.7,ohcv,eight,mpfi,3.8,3.35,8.0,4500,40960.0
gas,std,four,sedan,rwd,front,104.3,56.2,ohc,four,mpfi,3.78,3.15,9.5,5400,15985.0
diesel,std,two,sedan,fwd,front,97.3,55.7,ohc,four,idi,3.01,3.4,23.0,4800,7775.0
gas,std,two,hatchback,fwd,front,95.7,54.5,ohc,four,2bbl,3.05,3.03,9.0,4800,5348.0
gas,std,two,hardtop,fwd,front,95.1,53.3,ohc,four,2bbl,3.15,3.29,9.4,5200,8249.0
gas,std,four,sedan,fwd,front,99.8,54.3,ohc,four,mpfi,3.19,3.4,10.0,5500,13950.0
gas,std,four,wagon,fwd,front,94.5,53.5,ohc,four,2bbl,3.15,3.29,9.4,5200,7349.0
gas,std,two,hatchback,fwd,front,93.7,50.8,ohc,four,2bbl,2.97,3.23,9.4,5500,5572.0
gas,std,four,sedan,fwd,front,95.7,53.0,ohc,four,2bbl,3.19,3.03,9.0,4800,7738.0
gas,turbo,four,wagon,rwd,front,104.3,57.5,ohc,four,mpfi,3.62,3.15,7.5,5100,18950.0
gas,std,two,hatchback,fwd,front,93.1,54.1,ohc,four,2bbl,3.03,3.15,9.0,5000,5195.0
gas,std,two,convertible,rwd,front,88.6,48.8,dohc,four,mpfi,3.47,2.68,9.0,5000,13495.0
gas,std,two,sedan,fwd,front,94.5,54.5,ohc,four,2bbl,3.15,3.29,9.4,5200,7299.0
diesel,turbo,four,sedan,rwd,front,107.9,56.7,l,four,idi,3.7,3.52,21.0,4150,17950.0
gas,std,two,hatchback,fwd,front,94.5,53.3,ohc,four,2bbl,3.15,3.29,9.4,5200,7799.0
gas,std,four,hatchback,fwd,front,98.8,55.5,ohc,four,2bbl,3.39,3.39,8.6,4800,11245.0
gas,std,four,sedan,4wd,front,97.0,54.3,ohcf,four,2bbl,3.62,2.64,9.0,4800,9233.0
gas,std,four,sedan,fwd,front,96.5,54.1,ohc,four,mpfi,3.15,3.58,9.0,5800,12945.0
diesel,turbo,two,hardtop,rwd,front,106.7,54.9,ohc,five,idi,3.58,3.64,21.5,4350,28176.0
gas,std,two,sedan,rwd,front,102.0,47.8,ohcv,twelve,mpfi,3.54,2.76,11.5,5000,36000.0
gas,std,four,sedan,rwd,front,113.0,52.8,dohc,six,mpfi,3.63,4.17,8.1,4750,35550.0
gas,std,four,sedan,fwd,front,96.3,51.6,ohc,four,2bbl,3.35,3.46,8.5,5000,6989.0
gas,std,four,sedan,rwd,front,109.1,55.5,ohcv,six,mpfi,3.58,2.87,8.8,5500,21485.0
gas,std,four,sedan,rwd,front,101.2,54.3,ohc,six,mpfi,3.31,3.19,9.0,4250,21105.0
gas,std,four,wagon,fwd,front,95.7,59.1,ohc,four,2bbl,3.05,3.03,9.0,4800,6918.0
gas,turbo,two,hatchback,fwd,front,93.7,50.8,ohc,four,mpfi,3.03,3.39,7.6,5500,7957.0
gas,std,two,hatchback,fwd,front,94.5,51.4,ohc,four,mpfi,3.19,3.4,8.5,5500,9980.0
gas,turbo,four,sedan,fwd,front,99.1,56.1,dohc,four,mpfi,3.54,3.07,9.0,5500,18620.0
